country,year,allies,borderCountries,inversion,gdp,war
"ALB",1953,"BGR","GRC,MNE,MKD,SRB",20.338789,1089,1
"ALB",1953,"BGR","GRC,MNE,MKD,SRB",20.338789,938,1
"ALB",1964,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",20.74176,1616,1
"ALB",1964,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",20.74176,971,1
"ALB",1965,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",17.349222,1675,1
"ALB",1965,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",17.349222,974,1
"ALB",1992,"TUR","GRC,MNE,MKD,SRB",4.8595495,1764,0
"ALB",1956,"BGR,GDR,POL,HUN,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",23.327864,1193,1
"ALB",1956,"BGR,GDR,POL,HUN,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",23.327864,947,1
"ALB",1958,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",13.116879999999998,1326,1
"ALB",1958,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",13.116879999999998,953,1
"ALB",1996,"TUR,BGR","GRC,MNE,MKD,SRB",3.1047757,2410,0
"ALB",2010,"TUR,BGR","GRC,MNE,MKD,SRB",1.056306,5204,0
"ALB",1969,,"GRC,MNE,MKD,SRB",11.32983,1932,1
"ALB",1969,,"GRC,MNE,MKD,SRB",11.32983,986,1
"ALB",1970,,"GRC,MNE,MKD,SRB",10.248755,2004,1
"ALB",1970,,"GRC,MNE,MKD,SRB",10.248755,989,1
"ALB",1979,,"GRC,MNE,MKD,SRB",7.5767303,2331,1
"ALB",1986,,"GRC,MNE,MKD,SRB",7.7598357,2428,1
"ALB",1987,,"GRC,MNE,MKD,SRB",9.0782022,2443,1
"ALB",1961,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",15.280342,1463,1
"ALB",1961,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",15.280342,962,1
"ALB",1998,"TUR,BGR","GRC,MNE,MKD,SRB",3.7650216,2329,0
"ALB",2002,"TUR,BGR","GRC,MNE,MKD,SRB",1.3272254,3302,0
"ALB",1989,,"GRC,MNE,MKD,SRB",7.152686599999999,2477,1
"ALB",2000,"TUR,BGR","GRC,MNE,MKD,SRB",3.1070726000000004,2861,0
"ALB",1973,,"GRC,MNE,MKD,SRB",9.7252426,2273,1
"ALB",1981,,"GRC,MNE,MKD,SRB",9.9641123,2360,1
"ALB",1991,,"GRC,MNE,MKD,SRB",9.0285397,1836,1
"ALB",2013,,"GRC,MNE,MKD,SRB",1.4084582,5422,0
"ALB",2012,"TUR,BGR","GRC,MNE,MKD,SRB",1.4965211,5383,0
"ALB",2019,,"GRC,MNE,MKD,SRB",1.0266113000000001,5282,0
"ALB",1978,,"GRC,MNE,MKD,SRB",8.0135498,2319,1
"ALB",1988,,"GRC,MNE,MKD,SRB",7.3769689,2459,1
"ALB",1990,,"GRC,MNE,MKD,SRB",8.102797500000001,2499,1
"ALB",2008,"TUR,BGR","GRC,MNE,MKD,SRB",1.9550927,4859,0
"ALB",1971,,"GRC,MNE,MKD,SRB",10.985538,2084,1
"ALB",1985,,"GRC,MNE,MKD,SRB",9.515501,2413,1
"ALB",2017,,"GRC,MNE,MKD,SRB",1.1619531,5630,0
"ALB",1950,"BGR","GRC,MNE,MKD,SRB",22.007689000000006,1001,1
"ALB",1950,"BGR","GRC,MNE,MKD,SRB",22.007689000000006,929,1
"ALB",1993,"TUR,BGR","GRC,MNE,MKD,SRB",8.5385895,1937,0
"ALB",1995,"TUR,BGR","GRC,MNE,MKD,SRB",3.6700788,2240,0
"ALB",1999,"TUR,BGR","GRC,MNE,MKD,SRB",4.099781,2651,1
"ALB",2011,"TUR,BGR","GRC,MNE,MKD,SRB",1.5116866000000002,5322,0
"ALB",1982,,"GRC,MNE,MKD,SRB",8.116597200000001,2373,1
"ALB",2015,,"GRC,MNE,MKD,SRB",1.1619531,5630,0
"ALB",1957,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",19.16436,1269,1
"ALB",1957,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",19.16436,950,1
"ALB",1959,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",12.192178,1381,1
"ALB",1959,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",12.192178,956,1
"ALB",1966,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",16.345072000000002,1738,1
"ALB",1966,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",16.345072000000002,977,1
"ALB",2006,"TUR,BGR","GRC,MNE,MKD,SRB",1.5652648999999998,4234,0
"ALB",1951,"BGR","GRC,MNE,MKD,SRB",19.241339,1045,1
"ALB",1951,"BGR","GRC,MNE,MKD,SRB",19.241339,932,1
"ALB",1952,"BGR","GRC,MNE,MKD,SRB",18.398195,1046,1
"ALB",1952,"BGR","GRC,MNE,MKD,SRB",18.398195,935,1
"ALB",1954,"BGR","GRC,MNE,MKD,SRB",26.443146,1120,1
"ALB",1954,"BGR","GRC,MNE,MKD,SRB",26.443146,941,1
"ALB",1955,"BGR,GDR,POL,HUN,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",23.878202,1181,1
"ALB",1955,"BGR,GDR,POL,HUN,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",23.878202,944,1
"ALB",1963,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",22.209641,1563,1
"ALB",1963,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",22.209641,968,1
"ALB",2001,"TUR,BGR","GRC,MNE,MKD,SRB",2.6100116,3128,0
"ALB",2007,"TUR,BGR","GRC,MNE,MKD,SRB",1.8492409,4509,0
