country,year
AFG,1850
AFG,1851
AFG,1852
AFG,1853
AFG,1854
AFG,1855
AFG,1856
AFG,1857
AFG,1858
AFG,1859
AFG,1860
AFG,1861
AFG,1862
AFG,1863
AFG,1864
AFG,1865
AFG,1866
AFG,1867
AFG,1868
AFG,1869
AFG,1870
AFG,1871
AFG,1872
AFG,1873
AFG,1874
AFG,1875
AFG,1876
AFG,1877
AFG,1878
AFG,1879
AFG,1880
AFG,1881
AFG,1882
AFG,1883
AFG,1884
AFG,1885
AFG,1886
AFG,1887
AFG,1888
AFG,1889
AFG,1890
AFG,1891
AFG,1892
AFG,1893
AFG,1894
AFG,1895
AFG,1896
AFG,1897
AFG,1898
AFG,1899
AFG,1900
AFG,1901
AFG,1902
AFG,1903
AFG,1904
AFG,1905
AFG,1906
AFG,1907
AFG,1908
AFG,1909
AFG,1910
AFG,1911
AFG,1912
AFG,1913
AFG,1914
AFG,1915
AFG,1916
AFG,1917
AFG,1918
AFG,1919
AFG,1920
AFG,1921
AFG,1922
AFG,1923
AFG,1924
AFG,1925
AFG,1926
AFG,1927
AFG,1928
AFG,1929
AFG,1930
AFG,1931
AFG,1932
AFG,1933
AFG,1934
AFG,1935
AFG,1936
AFG,1937
AFG,1938
AFG,1939
AFG,1940
AFG,1941
AFG,1942
AFG,1943
AFG,1944
AFG,1945
AFG,1946
AFG,1947
AFG,1948
AFG,1949
AFG,1950
AFG,1951
AFG,1952
AFG,1953
AFG,1954
AFG,1955
AFG,1956
AFG,1957
AFG,1958
AFG,1959
AFG,1960
AFG,1961
AFG,1962
AFG,1963
AFG,1964
AFG,1965
AFG,1966
AFG,1967
AFG,1968
AFG,1969
AFG,1970
AFG,1971
AFG,1972
AFG,1973
AFG,1978
AFG,1979
AFG,1980
AFG,1981
AFG,1982
AFG,1983
AFG,1984
AFG,1985
AFG,1986
AFG,1987
AFG,1988
AFG,1989
AFG,1990
AFG,1991
AFG,1992
AFG,1993
AFG,1994
AFG,1995
AFG,1996
AFG,1997
AFG,1998
AFG,1999
AFG,2000
AFG,2001
AFG,2002
AFG,2003
AFG,2004
AFG,2005
AFG,2006
AFG,2007
AFG,2008
AFG,2009
AFG,2010
AFG,2011
AFG,2012
AFG,2013
AFG,2014
AFG,2015
AFG,2016
AFG,2017
AFG,2018
AFG,2019
AGO,1961
AGO,1962
AGO,1963
AGO,1964
AGO,1965
AGO,1966
AGO,1967
AGO,1968
AGO,1969
AGO,1970
AGO,1971
AGO,1972
AGO,1973
AGO,1974
AGO,1975
AGO,1976
AGO,1977
AGO,1978
AGO,1979
AGO,1980
AGO,1981
AGO,1982
AGO,1983
AGO,1984
AGO,1985
AGO,1986
AGO,1987
AGO,1988
AGO,1989
AGO,1990
AGO,1991
AGO,1992
AGO,1993
AGO,1994
AGO,1995
AGO,1996
AGO,1997
AGO,1998
AGO,1999
AGO,2000
AGO,2001
AGO,2002
AGO,2003
AGO,2004
AGO,2005
AGO,2006
AGO,2007
AGO,2008
AGO,2009
AGO,2010
AGO,2011
AGO,2012
AGO,2013
AGO,2014
AGO,2015
AGO,2016
AGO,2017
AGO,2018
AGO,2019
