,country,year
0,DZA,1975
1,DZA,1976
2,DZA,1977
3,DZA,1978
4,ARG,1980
5,ARG,1981
6,AUH,1917
7,AUS,1944
8,AUS,1950
9,AUS,1951
10,AUS,1952
11,AUS,1970
12,AUS,1971
13,BEL,1914
14,BEL,1915
15,BEL,1916
16,BEL,1917
17,BEL,1951
18,BEL,1952
19,BOL,1931
20,BOL,1932
21,BOL,1933
22,BOL,1934
23,BRA,1939
24,BRA,1940
25,BRA,1941
26,BRA,1942
27,BRA,1943
28,BRA,1944
29,BGR,1914
30,BGR,1915
31,BGR,1916
32,BGR,1917
33,BGR,1939
34,BGR,1940
35,BGR,1941
36,BGR,1942
37,BGR,1943
38,KHM,1962
39,KHM,1963
40,KHM,1964
41,KHM,1965
42,KHM,1966
43,KHM,1967
44,KHM,1968
45,KHM,1969
46,KHM,1970
47,KHM,1971
48,KHM,1972
49,KHM,1973
50,KHM,1974
51,KHM,1975
52,KHM,1976
53,KHM,1977
54,KHM,1978
55,CAN,1940
56,CAN,1941
57,CAN,1942
58,CAN,1943
59,CAN,1944
60,CAN,1951
61,CAN,1952
62,CHN,1911
63,CHN,1912
64,CHN,1916
65,CHN,1917
66,CHN,1920
67,CHN,1921
68,CHN,1922
69,CHN,1923
70,CHN,1924
71,CHN,1925
72,CHN,1926
73,CHN,1927
74,CHN,1928
75,CHN,1929
76,CHN,1930
77,CHN,1931
78,CHN,1932
79,CHN,1937
80,CHN,1938
81,CHN,1939
82,CHN,1940
83,CHN,1941
84,CHN,1942
85,CHN,1943
86,CHN,1944
87,CHN,1948
88,CHN,1949
89,CHN,1950
90,CHN,1951
91,CHN,1952
92,CHN,1956
93,CHN,1957
94,CHN,1958
95,CHN,1959
96,CHN,1960
97,CHN,1961
98,CHN,1978
99,COL,1950
100,COL,1951
101,COL,1952
102,CUW,1975
103,CUW,1976
104,CUW,1977
105,CYP,1973
106,VNM,1967
107,VNM,1968
108,VNM,1969
109,VNM,1970
110,VNM,1971
111,VNM,1972
112,VNM,1973
113,VNM,1974
114,VNM,1975
115,VNM,1976
116,VNM,1977
117,VNM,1978
118,VNM,1982
119,VNM,1983
120,VNM,1984
121,VNM,1985
122,VNM,1986
123,EGY,1967
124,EGY,1968
125,EGY,1969
126,ETH,1934
127,ETH,1935
128,ETH,1940
129,ETH,1950
130,ETH,1951
131,ETH,1952
132,ETH,1977
133,FIN,1939
134,FRA,1911
135,FRA,1912
136,FRA,1913
137,FRA,1914
138,FRA,1915
139,FRA,1916
140,FRA,1917
141,FRA,1919
142,FRA,1920
143,FRA,1921
144,FRA,1922
145,FRA,1923
146,FRA,1924
147,FRA,1925
148,FRA,1926
149,FRA,1939
150,FRA,1940
151,FRA,1945
152,FRA,1946
153,FRA,1947
154,FRA,1948
155,FRA,1949
156,FRA,1950
157,FRA,1951
158,FRA,1952
159,FRA,1953
160,FRA,1954
161,FRA,1955
162,FRA,1956
163,FRA,1957
164,FRA,1958
165,FRA,1959
166,FRA,1960
167,FRA,1961
168,DEU,1903
169,DEU,1904
170,DEU,1905
171,DEU,1915
172,DEU,1916
173,DEU,1917
174,DEU,1941
175,DEU,1942
176,DEU,1943
177,DEU,1944
178,GRC,1912
179,GRC,1913
180,GRC,1914
181,GRC,1915
182,GRC,1916
183,GRC,1917
184,GRC,1919
185,GRC,1920
186,GRC,1921
187,GRC,1950
188,GRC,1951
189,GRC,1952
190,HND,1904
191,HND,1905
192,HUN,1939
193,HUN,1940
194,HUN,1941
195,HUN,1942
196,HUN,1943
197,HUN,1944
198,IND,1948
199,IND,1969
200,IND,1970
201,IDN,1964
202,IDN,1965
203,IDN,1966
204,IDN,1967
205,IDN,1968
206,IDN,1969
207,IDN,1970
208,IDN,1971
209,IDN,1972
210,IDN,1973
211,IDN,1974
212,IDN,1975
213,IDN,1976
214,IRN,1979
215,IRN,1980
216,IRN,1981
217,IRN,1982
218,IRN,1983
219,IRN,1984
220,IRN,1985
221,IRN,1986
222,IRN,1987
223,IRQ,1980
224,IRQ,1981
225,IRQ,1982
226,IRQ,1983
227,IRQ,1984
228,IRQ,1985
229,IRQ,1986
230,IRQ,1987
231,IRQ,1988
232,IRQ,1989
233,IRQ,1990
234,ISR,1965
235,ISR,1966
236,ISR,1969
237,ITA,1909
238,ITA,1910
239,ITA,1911
240,ITA,1914
241,ITA,1915
242,ITA,1916
243,ITA,1917
244,ITA,1920
245,ITA,1921
246,ITA,1922
247,ITA,1923
248,ITA,1924
249,ITA,1925
250,ITA,1926
251,ITA,1927
252,ITA,1928
253,ITA,1929
254,ITA,1930
255,ITA,1931
256,ITA,1935
257,ITA,1939
258,ITA,1940
259,ITA,1941
260,ITA,1942
261,ITA,1943
262,ITA,1944
263,JPN,1904
264,JPN,1917
265,JPN,1931
266,JPN,1932
267,JPN,1935
268,JPN,1936
269,JPN,1937
270,JPN,1938
271,JPN,1939
272,JPN,1940
273,JPN,1941
274,JPN,1942
275,JPN,1943
276,JPN,1944
277,LBY,1978
278,MRT,1975
279,MRT,1976
280,MRT,1977
281,MRT,1978
282,MNG,1941
283,MNG,1942
284,MNG,1943
285,MNG,1944
286,MAR,1909
287,MAR,1975
288,MAR,1976
289,MAR,1977
290,MAR,1978
291,MAR,1979
292,MAR,1980
293,MAR,1981
294,MAR,1982
295,NZL,1939
296,NZL,1940
297,NZL,1941
298,NZL,1942
299,NZL,1943
300,NZL,1944
301,NDL,1939
302,NDL,1945
303,NDL,1951
304,NDL,1952
305,OMN,1990
306,PAK,1940
307,PAK,1941
308,PAK,1942
309,PAK,1943
310,PAK,1944
311,PAK,1945
312,PAK,1946
313,PAK,1947
314,PAK,1948
315,PRY,1932
316,PRY,1933
317,PRY,1934
318,PHL,1951
319,PHL,1952
320,PHL,1965
321,PHL,1966
322,PHL,1967
323,PHL,1968
324,PHL,1969
325,PHL,1970
326,PHL,1971
327,PHL,1972
328,POL,1919
329,PRT,1914
330,PRT,1915
331,PRT,1916
332,PRT,1917
333,PRT,1955
334,PRT,1956
335,PRT,1957
336,PRT,1958
337,PRT,1959
338,PRT,1960
339,PRT,1961
340,PRT,1962
341,PRT,1963
342,PRT,1964
343,PRT,1965
344,PRT,1966
345,PRT,1967
346,PRT,1968
347,PRT,1969
348,PRT,1970
349,PRT,1971
350,PRT,1972
351,PRT,1973
352,PRT,1974
353,PRK,1950
354,PRK,1951
355,PRK,1952
356,KOR,1950
357,KOR,1951
358,KOR,1952
359,KOR,1965
360,KOR,1966
361,KOR,1967
362,KOR,1968
363,KOR,1969
364,KOR,1970
365,KOR,1971
366,KOR,1972
367,RUM,1914
368,RUM,1915
369,RUM,1916
370,RUM,1939
371,RUM,1940
372,RUM,1941
373,RUM,1942
374,RUM,1943
375,RUM,1944
376,VNM,1965
377,VNM,1966
378,VNM,1967
379,VNM,1968
380,VNM,1969
381,VNM,1970
382,VNM,1971
383,VNM,1972
384,VNM,1973
385,VNM,1974
386,ZAF,1941
387,ZAF,1942
388,ZAF,1943
389,ZAF,1944
390,ZAF,1975
391,ZAF,1976
392,ZAF,1977
393,ZAF,1978
394,ZAF,1979
395,ZAF,1980
396,ZAF,1981
397,ZAF,1982
398,ZAF,1983
399,ZAF,1984
400,ZAF,1985
401,ZAF,1986
402,ZAF,1987
403,SVN,1906
404,SAU,1932
405,SAU,1933
406,SAU,1971
407,SAU,1972
408,SAU,1990
409,SOM,1977
410,ESP,1906
411,ESP,1907
412,ESP,1908
413,ESP,1909
414,ESP,1910
415,ESP,1911
416,ESP,1916
417,ESP,1920
418,ESP,1921
