Conflict,Combatant 1,Combatant 2,Result
Caucasian Front of the Crimean War(1853-1856),Russian Empire  Kutaisi Governorate  Tiflis Governorate  Erivan Governorate  Principality of Mingrelia Principality of Abkhazia (1853-1855),Ottoman Empire Principality of Abkhazia (1855-1856),"The victory at the front, but the defeat of Russia in the war"
Caucasian War(1817-1864),Russian Empire  Kutaisi Governorate  Tiflis Governorate  Erivan Governorate  Dagestan Oblast (1860-1864)  Terek Oblast (1860-1864)  Baku Governorate (1846-1864)  Kuban Oblast (1860-1864)  Principality of Mingrelia Principality of Mingrelia Principality of Guria (to 1829) Principality of Svaneti (to 1859) Principality of Abkhazia Avar Khanate (1817-1818; 1823-1864),Caucasian Imamate Circassia Avar Khanate (1818-1823) Big Kabarda (to 1825)Khanate of Kazi-KumukhDagestan free,Caucasus annexed into Russia.
Caucasian campaign of the Russian-Turkish War (1877-1878),Russian Empire  Kutaisi Governorate  Tiflis Governorate  Erivan Governorate  Dagestan Oblast  Terek Oblast  Baku Governorate  Kuban Oblast  Elisabethpol Governorate,Ottoman Empire Trebizond Vilayet Erzurum Vilayet Bitlis Vilayet Van Vilayet Sivas Vilayet,Victory
The revolt against Soviet rule Kakhet-Khevsureti Rebellion (1921-1924) Svanetian Uprising August Uprising,Soviet Union  Red Army  Cheka  Georgian SSR,Committee for the Independence of Georgia  other Georgian guerrilla groups,Defeat
World War II (1941-1945),Soviet Union United States United Kingdom China Free France Poland Canada Australia New Zealand India South Africa Yugoslavia Greece Denmark Norway Netherlands Belgium Luxembourg Czechoslovakia Brazil Mexico Ethiopia,Germany Japan Italy Hungary Romania Bulgaria Vichy France Finland Thailand Manchukuo Croatia Slovakia,Victory
Hungarian Revolution (1956),Soviet Union ÁVH,Revolutionaries,Victory
Invasion of Czechoslovakia (1968),Soviet Union Bulgaria East Germany Hungary Poland,Czechoslovakia,Victory
Soviet-Afghan War (1979-1989),Soviet Union Afghanistan,Peshawar Seven Tehran Eight,Withdrawal
Georgian Civil War (1991-1993),Zviadists  Georgian National Guard,Georgia Georgian Armed Forces Mkhedrioni  Georgian National Guard  Russia,Change of government
South Ossetian War (1991-1992),Georgia Georgian Armed Forces Mkhedrioni  Georgian National Guard,South Ossetia  Russia   North Ossetia-Alania,Defeat
War in Abkhazia(1992-1993),"Georgia Mkhedrioni  Georgian National Guard pro-Georgian Abkhaz  UNA-UNSO ""Argo""",Russia  Confederation of Mountain Peoples of the Caucasus  Kuban Cossacks  Don Cossacks  AbkhaziaBagramyan Battalion,Defeat
Georgian attempted mutiny (1998),Georgia,Zviadists,Victory
War in Abkhazia (1998),White Legion Forest Brotherhood,,Defeat
(2001) Kodori crisis,Chechen militants Georgian guerrillas,,Defeat
Pankisi Gorge crisis (2001-2003),Georgia United States,Al-Qaeda Chechen Republic of Ichkeria,Victory
Skirmishes in South Ossetia (2004),Georgia,South Ossetia  Russia,Ceasefire agreement reached on 5 November 2004
Kodori crisis (2006),Georgia  Interior Ministry of Georgia Police of Georgia,Emzar Kvitsiani factions Alleged Support:   Russian Peacekeepers,Victory
Russo-Georgian War (2008),Georgia  Georgian Armed Forces  Georgian National Guard  Ministry of Internal Affairs of Georgia  Azerbaijani Georgians,South Ossetia  Russia   Russian Armed Forces  Dagestan  North Ossetia-Alania  Chechnya Transnistria,Defeat
Georgian attempted mutiny (2009),Georgia,Muniteers from Mukhrovani Separate Tank Battalion,Victory of government forces
Lopota incident (2012),Georgia,Uncertain,Victory
sani flat siege (2017),Georgia,Uncertain,Victory
War in Afghanistan (2001-2014),United States Afghanistan ISAF United Kingdom Germany Denmark Italy France Canada Australia New Zealand El Salvador Georgia Norway Sweden Poland Estonia Romania Turkey Bulgaria Hungary Luxembourg Portugal Austria Jordan Albania Iceland Northern Alliance,Taliban al-Qaeda Mujahideen IMU Haqqani network ETIM Islamic Jihad Union Hezb-e-Islami Gulbuddin United Tajik Opposition   Afghanistan,Victory
Iraq War (2003-2011),United States Iraq United Kingdom South Korea Italy Poland Australia Georgia Ukraine Estonia Netherlands Spain Denmark MNF-I INC New Iraqi Army KDP PUK Turkey (Political Support),Iraq Ba'ath Loyalists SCJL Naqshbandi Army Islamic State of Iraq Al-Qaeda Mahdi Army Special Groups Badr Brigades,Victory
War in Afghanistan (2015-2019),"Islamic Republic of Afghanistan Afghan National Security Forces Advisers, Non-combat support, & Counter-terrorism operations:  Resolute Support   Australia  Czech Republic  Georgia (IPAP)  Germany  Italy  Romania  Turkey  Spain  United Kingdom  United States",Taliban  al-Qaeda  Haqqani network  Hezb-e-Islami Gulbuddin  United Tajik Opposition,Ongoing
