Conflict,Jordanand allies,Opponents,Result,Monarch,Jordanianlosses
"Kura Rebellion(1921-1923)",Transjordan United Kingdom,Sheikh Kulaib's militia,Victory Rebellions defeated.,Abdullah I,+15
Adwan Rebellion(1923),Transjordan United Kingdom,Sultan Adwan's forces,Victory Sultan Adwan's defeat and exile.,Abdullah I,~100
"Ikhwan raids on Transjordan(1922,1924)",Transjordan United Kingdom,Ikhwan,Victory Raids repelled.,Abdullah I,~200
Anglo-Iraqi War(1941),,,,,
Syria-Lebanon Campaign(1941),,,,,
First Arab-Israeli War(1948-1949),,,,,
Six-Day War(1967),Egypt Syria Jordan Iraq Lebanon,Israel,"Defeat Israel captured the Gaza Strip, Sinai, the West Bank and the Golan Heights",Hussein,~700
War of Attrition(1967-1970),Jordan PLO,Israel,"Both sides claim victory Karameh camp destroyed, Israeli raid repelled",Hussein,40-84 dead
Black September(1970-1971),Jordan,PLO Syria,"Victory PLO driven out to Lebanon, Syrian raid repelled",Hussein,537 dead
October War(1973),,,,,
Sa'dah War(2009-2010),Yemen Saudi Arabia Jordan Morocco,Houthis,Stalemate[3] Houthis consolidate control over Sa'dah,Abdullah II,None
Libyan Civil War(2011),,,,,
Intervention against ISIS(2014-2019),,,,,
Intervention in Yemen(2015-2019),,,,,
