Conflict,Combatant 1,Combatant 2,Result
Federation of Malaya (1957-1966),,,
Malayan Emergency(1948-1960),,,
Congo Crisis(1960-1964),Congo UNOC,Katanga South Kasai,Victory
Cross border attacks in North Borneo(1962-2019),,,
Sarawak Communist Insurgency(1962-1990),United Kingdom Malaysia Sarawak,North Kalimantan Communist Party,"Victory Peace Agreement, dissolution of NKCP.[6]"
Brunei Revolt(1962),,,
Indonesia-Malaysia confrontation(1963-1966),,,
Malaysia (1963-2019),,,
Second Malayan Emergency(1968-1989),,,
Operation Gothic Serpent(1993),,,
UNPROFOR (1992-1995),,,
International Force for East Timor(1999-2000),,,
Operation Astute(2006-2013),,,
Operation Ocean Shield(2009-2016),,,
Lahad Datu standoff(2013),,,
