country,year
ALG,1975
ALG,1976
ALG,1977
ALG,1978
ARG,1980
ARG,1981
AUH,1917
AUL,1944
AUL,1950
AUL,1951
AUL,1952
AUL,1970
AUL,1971
BEL,1914
BEL,1915
BEL,1916
BEL,1917
BEL,1951
BEL,1952
BOL,1931
BOL,1932
BOL,1933
BOL,1934
BRA,1939
BRA,1940
BRA,1941
BRA,1942
BRA,1943
BRA,1944
BUL,1914
BUL,1915
BUL,1916
BUL,1917
BUL,1939
BUL,1940
BUL,1941
BUL,1942
BUL,1943
CAM,1962
CAM,1963
CAM,1964
CAM,1965
CAM,1966
CAM,1967
CAM,1968
CAM,1969
CAM,1970
CAM,1971
CAM,1972
CAM,1973
CAM,1974
CAM,1975
CAM,1976
CAM,1977
CAM,1978
CAN,1940
CAN,1941
CAN,1942
CAN,1943
CAN,1944
CAN,1951
CAN,1952
CHN,1911
CHN,1912
CHN,1916
CHN,1917
CHN,1920
CHN,1921
CHN,1922
CHN,1923
CHN,1924
CHN,1925
CHN,1926
CHN,1927
CHN,1928
CHN,1929
CHN,1930
CHN,1931
CHN,1932
CHN,1937
CHN,1938
CHN,1939
CHN,1940
CHN,1941
CHN,1942
CHN,1943
CHN,1944
CHN,1948
CHN,1949
CHN,1950
CHN,1951
CHN,1952
CHN,1956
CHN,1957
CHN,1958
CHN,1959
CHN,1960
CHN,1961
CHN,1978
COL,1950
COL,1951
COL,1952
CUB,1975
CUB,1976
CUB,1977
CYP,1973
DRV,1967
DRV,1968
DRV,1969
DRV,1970
DRV,1971
DRV,1972
DRV,1973
DRV,1974
DRV,1975
DRV,1976
DRV,1977
DRV,1978
DRV,1982
DRV,1983
DRV,1984
DRV,1985
DRV,1986
EGY,1967
EGY,1968
EGY,1969
ETH,1934
ETH,1935
ETH,1940
ETH,1950
ETH,1951
ETH,1952
ETH,1977
FIN,1939
FRN,1911
FRN,1912
FRN,1913
FRN,1914
FRN,1915
FRN,1916
FRN,1917
FRN,1919
FRN,1920
FRN,1921
FRN,1922
FRN,1923
FRN,1924
FRN,1925
FRN,1926
FRN,1939
FRN,1940
FRN,1945
FRN,1946
FRN,1947
FRN,1948
FRN,1949
FRN,1950
FRN,1951
FRN,1952
FRN,1953
FRN,1954
FRN,1955
FRN,1956
FRN,1957
FRN,1958
FRN,1959
FRN,1960
FRN,1961
GMY,1903
GMY,1904
GMY,1905
GMY,1915
GMY,1916
GMY,1917
GMY,1941
GMY,1942
GMY,1943
GMY,1944
GRC,1912
GRC,1913
GRC,1914
GRC,1915
GRC,1916
GRC,1917
GRC,1919
GRC,1920
GRC,1921
GRC,1950
GRC,1951
GRC,1952
HON,1904
HON,1905
HUN,1939
HUN,1940
HUN,1941
HUN,1942
HUN,1943
HUN,1944
IND,1948
IND,1969
IND,1970
INS,1964
INS,1965
INS,1966
INS,1967
INS,1968
INS,1969
INS,1970
INS,1971
INS,1972
INS,1973
INS,1974
INS,1975
INS,1976
IRN,1979
IRN,1980
IRN,1981
IRN,1982
IRN,1983
IRN,1984
IRN,1985
IRN,1986
IRN,1987
IRQ,1980
IRQ,1981
IRQ,1982
IRQ,1983
IRQ,1984
IRQ,1985
IRQ,1986
IRQ,1987
IRQ,1988
IRQ,1989
IRQ,1990
ISR,1965
ISR,1966
ISR,1969
ITA,1909
ITA,1910
ITA,1911
ITA,1914
ITA,1915
ITA,1916
ITA,1917
ITA,1920
ITA,1921
ITA,1922
ITA,1923
ITA,1924
ITA,1925
ITA,1926
ITA,1927
ITA,1928
ITA,1929
ITA,1930
ITA,1931
ITA,1935
ITA,1939
ITA,1940
ITA,1941
ITA,1942
ITA,1943
ITA,1944
JPN,1904
JPN,1917
JPN,1931
JPN,1932
JPN,1935
JPN,1936
JPN,1937
JPN,1938
JPN,1939
JPN,1940
JPN,1941
JPN,1942
JPN,1943
JPN,1944
LIB,1978
MAA,1975
MAA,1976
MAA,1977
MAA,1978
MON,1941
MON,1942
MON,1943
MON,1944
MOR,1909
MOR,1975
MOR,1976
MOR,1977
MOR,1978
MOR,1979
MOR,1980
MOR,1981
MOR,1982
NEW,1939
