country,year,allies,borderCountries,inversion,gdp,war
"DZA",1998,"MRT,SOM,DJI,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YEM,KWT,BHR,QAT,ARE,OMN,SOM,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YEM,KWT,BHR,QAT,ARE,MRT,MAR,TUN,LBY","LBY,MLI,MRT,MAR,NER,TUN,ESH",6.4802055,2781,1
"DZA",1994,"MRT,SOM,DJI,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YEM,KWT,BHR,QAT,ARE,OMN,SOM,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YEM,KWT,BHR,QAT,ARE,MRT,MAR,TUN,LBY","LBY,MLI,MRT,MAR,NER,TUN,ESH",3.065495,2604,1
"DZA",1936,,"LBY,MLI,MRT,MAR,NER,TUN,ESH",0.0,955,0
"DZA",1932,,"LBY,MLI,MRT,MAR,NER,TUN,ESH",0.0,915,0
"DZA",1965,"MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,ARE","LBY,MLI,MRT,MAR,NER,TUN,ESH",3.1689038,1870,1
"DZA",1965,"MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,ARE","LBY,MLI,MRT,MAR,NER,TUN,ESH",3.1689038,1243,1
"DZA",1961,,"LBY,MLI,MRT,MAR,NER,TUN,ESH",0.0,1799,0
"DZA",1961,,"LBY,MLI,MRT,MAR,NER,TUN,ESH",0.0,1223,0
"DZA",1969,"MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,ARE,MAR","LBY,MLI,MRT,MAR,NER,TUN,ESH",2.3407485,2105,1
"DZA",1969,"MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,KWT,ARE,MAR","LBY,MLI,MRT,MAR,NER,TUN,ESH",2.3407485,1263,1
"DZA",1983,"MRT,SOM,DJI,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,YPR,KWT,BHR,QAT,ARE,OMN,SOM,MAR,TUN,LBY,SDN,IRQ,EGY,SYR,LBN,JOR,SAU,YAR,YPR,KWT,BHR,QAT,ARE,TUN,LBY,MRT,TUN","LBY,MLI,MRT,MAR,NER,TUN,ESH",1.91545,3289,1
