"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","mindur","maxdur","deaths","intside","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"392","2","USA","1899","2","4","1902","7","4","-999","-999","-999","-999","-999","-999","1246","1246","4500","0","0","3","74799","100","0","0","0","0","1","0","3","1,073","4234","4234","17073","24234","20234"
"393","200","UKG","1899","9","-999","1905","3","5","-999","-999","-999","-999","-999","-999","1983","2012","6000","0","0","3","40774","331","0","0","1","0","0","0","3","200","200","200","4200","4200","4200"
"395","200","UKG","1899","10","11","1902","5","31","-999","-999","-999","-999","-999","-999","963","963","22000","0","0","3","40774","331","0","0","1","0","0","0","3","5774","5774","5774","12424","12424","12424"
"396","200","UKG","1903","1","29","1903","7","27","-999","-999","-999","-999","-999","-999","180","180","1000","0","1","3","42246","416","0","0","1","0","0","0","3","0","-999","-999","365","1000","365"
"397","255","GMY","1904","1","12","1905","11","-999","-999","-999","-999","-999","-999","-999","660","689","2000","0","0","3","59390","642","0","0","1","0","0","0","3","887","887","887","11887","11887","11887"
"399","255","GMY","1905","7","-999","1906","6","-999","-999","-999","-999","-999","-999","-999","306","365","1000","0","0","3","60246","648","0","0","1","0","0","0","3","130","130","130","1000","1000","1000"
"400","200","UKG","1906","3","-999","1906","7","-999","-999","-999","-999","-999","-999","-999","93","153","5000","0","0","3","43360","384","0","0","1","0","0","0","3","56","56","56","2356","2356","2356"
"401","230","SPN","1911","-999","-999","1912","3","30","-999","-999","-999","-999","-999","-999","91","455","0","1","0","2","20020","147","0","0","0","1","0","0","3","-999","-999","-999","3196","3346","3246"
"401","220","FRN","1911","-999","-999","1912","3","30","-999","-999","-999","-999","-999","-999","91","455","1000","0","0","3","39602","638","0","0","0","1","0","0","3","-999","-999","-999","3196","3346","3246"
"402","710","CHN","1912","3","-999","1913","4","-999","-999","-999","-999","-999","-999","-999","367","426","2000","0","0","2","452888","450","0","0","0","0","1","0","3","-999","-999","-999","2000","2000","2000"
"404","220","FRN","1916","-999","-999","1917","-999","-999","-999","-999","-999","-999","-999","-999","2","731","2000","0","0","3","39194","5260","0","0","0","1","0","0","3","-999","-999","-999","2000","2000","2000"
"404","230","SPN","1916","-999","-999","1917","-999","-999","-999","-999","-999","-999","-999","-999","2","731","0","1","0","2","20781","189","0","0","0","1","0","0","3","0","0","0","2000","2000","2000"
"405","710","CHN","1918","1","7","1918","8","-999","-999","-999","-999","-999","-999","-999","207","237","1000","0","1","2","460837","1300","0","0","0","0","1","0","3","-999","-999","-999","1000","1000","1000"
