"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","duration","deaths","outcome","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","warname","censubsy","subsysea","majpowin","majpowea","edition","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"82","710","CHN","1900","6","17","1900","8","14","-999","-999","-999","-999","-999","-999","59","2000","2","0","2","425577","1000","0","0","0","0","1","0","3","Boxer Rebellion","1","1","1","0","1","1500","2000","2000","2503","3003","3003"
"82","365","USR","1900","6","17","1900","8","14","-999","-999","-999","-999","-999","-999","59","302","1","1","3","135664","1142","0","0","0","0","1","0","3","Boxer Rebellion","1","1","1","0","1","302","302","302","2503","3003","3003"
"82","740","JPN","1900","6","17","1900","8","14","-999","-999","-999","-999","-999","-999","59","622","1","1","3","43847","184","0","0","0","0","1","0","3","Boxer Rebellion","1","1","1","0","1","622","622","622","2503","3003","3003"
"82","200","UKG","1900","6","17","1900","8","14","-999","-999","-999","-999","-999","-999","59","34","1","1","3","41154","487","0","0","0","0","1","0","3","Boxer Rebellion","1","1","1","0","1","34","34","34","2503","3003","3003"
"82","2","USA","1900","6","17","1900","8","14","-999","-999","-999","-999","-999","-999","59","21","1","1","3","76212","126","0","0","0","0","1","0","3","Boxer Rebellion","1","1","1","0","1","21","21","21","2503","3003","3003"
"82","220","FRN","1900","6","17","1900","8","14","-999","-999","-999","-999","-999","-999","59","24","1","1","3","38900","621","0","0","0","0","1","0","3","Boxer Rebellion","1","1","1","0","1","24","24","24","2503","3003","3003"
"83","365","USR","1900","8","17","1900","10","10","-999","-999","-999","-999","-999","-999","55","242","1","1","3","135664","1142","0","0","0","0","1","0","3","Sino-Russian","1","1","1","0","4","242","242","242","4000","4000","4000"
"83","710","CHN","1900","8","17","1900","10","10","-999","-999","-999","-999","-999","-999","55","3758","2","0","2","425577","1000","0","0","0","0","1","0","3","Sino-Russian","1","1","1","0","4","3758","3758","3758","4000","4000","4000"
"85","365","USR","1904","2","8","1905","9","15","-999","-999","-999","-999","-999","-999","586","71453","2","0","3","144775","1160","0","0","0","0","1","0","3","Russo-Japanese","1","1","1","1","0","52623","52623","52623","111199","111199","111199"
"85","740","JPN","1904","2","8","1905","9","15","-999","-999","-999","-999","-999","-999","586","80378","1","1","3","46135","218","0","0","0","0","1","0","3","Russo-Japanese","1","1","1","1","0","58576","58576","58576","111199","111199","111199"
"88","91","HON","1906","5","27","1906","7","20","-999","-999","-999","-999","-999","-999","55","300","2","0","1","504","1","1","0","0","0","0","0","3","Third Central American","0","0","0","0","0","300","600","450","1000","2000","1500"
