Conflict,Combatant 1,Combatant 2,Result
Thopia Uprising against the Anjou  (1358-1368),Albanian Thopia family,Angevin Kingdom of Naples  Kingdom of Albania,Victory Most of the territory of the Kingdom of Albania other than Durrës is captured by the Thopia family from the Anjou between 1358 and 1362. First Siege of Durrës from April 1362 to May 1363 by the Albanians fails. Second Siege of Durrës from 1367 to 1368 leads to the Thopia's taking Durrës. The Thopia's form the Princedom of Albania in 1368.
Albanian-Epirote War of 1359  (1359),Albanian Losha Family and Shpata Family,Despotate of Epirus,"Victory An Epirote invasion force is badly defeated by the Albanians at the Battle of Achelous and the Epirote leader, Nikephoros II Orsini, is killed. Albanians invade Epirus. Peter Losha forms the Despotate of Arta and Gjin Bua Shpata forms the Despotate of Angelokastron and Lepanto. Serbs take control of the rest of Epirus."
First Albanian Siege of Ioannina  (1367-1370),Albanian Losha Family Despotate of Arta Aromanian Mazaraki Tribe Aromanian Malakasi Tribe,Despotate of Epirus in Ioannina,"Ceasefire Albanian forces with support from Aromanian tribes besiege and attack Ioannina from 1367 to 1370.[1] An agreement is made where the daughter, Irene, of the ruler of Epirus, Thomas Preljubović marries the son, John, of the ruler of Arta, Peter Losha. This ends the siege."
Invasions of Ioannina by Gjin Bua Shpata  (1375-1379),Despotate of Arta,Despotate of Epirus in Ioannina,Defeat Epirote forces repel Albanian invaders.
Invasions of the Despotate of Arta (1381-1384)  (1381-1384),Despotate of Arta,Despotate of Epirus in Ioannina   Ottoman Empire,"Defeat Preljubović, leader of Epirus, appealed for help from the Ottomans, who provide the Epirotes with an auxiliary force. Epirote and Ottoman forces defeat the Albanians and capture many fortresses in the Despotate of Arta, expanding the Despotate of Epirus."
Zetan invasion of the Princedom of Albania  (1382),Princedom of Albania,Lordship of Zeta,"Zetan Victory Zetan forces under Balša II capture the Princedom's capital, Durrës. Thopia's forces are defeated and the Princedom ceases to exist. In 1385 the Princedom is restored following Zetan defeat at the Battle of Savra by the Ottomans, from whom Thopia had requested assistance."
Battle of Ioannina (1385)[2]  (Early 1385),Despotate of Arta,Despotate of Epirus,Defeat Albanians attack the city. Shpata withdraws due to strong city defences. The two sides later negotiate peace.
Battle of Savra  (September 1385),Lordship of Zeta,Ottoman Empire,Victory Outnumbered Zetan forces are defeated at Savra by the Ottomans. The Princedom of Albania under Karl Topia is restored.
First Zenebishi Uprising against the Ottomans  (1385-1386),Albanian Zenebishi Family,Ottoman Empire,Victory Albanians under John Zenebishi successfully capture the fortress of Gjirokastër. The Principality of Gjirokastër is declared.
Albanian-Epirote War of 1389-90[3]  (1389-1390),Despotate of Arta (all four battles)  Aromanian Malakasi Tribe (second battle),Despotate of Epirus (all four battles)Thessaly (second battle)   Ottoman Empire (third and fourth battles),"Defeat Albanian and Aromanian forces are defeated in four battles against Epirote, Thessalian and Ottoman forces around Jannina. Albanian forces withdraw into the surrounding mountains. Peace lasts from 1391-1394."
