Conflict,Combatant 1,Combatant 2,Results
Venezuelan War of Independence(1811-1823),New Granada Venezuela Haiti Gran Colombia,Spain,Victory
Gran Colombia-Peru War(1828-1829),Colombia,Peru,Stalemate status quo ante bellum
War of the Supremes(1839-1841),Colombia,,
Colombian Civil War (1860-1862) between the government and Liberal rebels,Granadine Confederation,Federal State of Cauca,"Victory for Federal State of Cauca and Tomás Cipriano de Mosquera, formation of the United States of Colombia"
Ecuadorian-Colombian War(1863),Colombia,Ecuador,Stalemate
Colombian Civil War of (1876),Colombia Colombian Liberal Party,Colombian Conservative Party,Liberal Party
Colombian Civil War of (1895),Colombia,Liberal rebels,Government victory
"Thousand Days War(1899-1902)",Conservatives,Colombian Liberal Party,Conservative government Victory • Continuation of the present day Republic of Colombia
Colombia-Peru War(1932-1933),Colombia,Peru,Ceasefire status quo ante bellum
World War II(1939-1945),Soviet Union United States British Empire  South Africa  Australia  Canada  New Zealand  India  France Poland Yugoslavia Greece Denmark Norway Netherlands Belgium Luxembourg Czechoslovakia Brazil Colombia,Germany Italy Hungary Romania,Victory Collapse of the German Realm Creation of the United Nations Emergence of the United States and the Soviet Union as superpowers Beginning of the Cold War
"La Violencia(civil war, 1948-1958)",Colombia  Armed Forces   Conservatives  Guerrillas of Peace (conservative paramilitaries),Colombian Liberal Party  and allied militias   Guerrillas liberalesLos Cachiporros Bandoleros Colombian Communist PartyGrupos de Autodefensas Campesinas,Stalemate  Creation of the National Front Colombian Armed Conflict
Korean War(1950-1953),South Korea United States United Kingdom Canada Turkey Australia Ethiopia Philippines New Zealand Thailand Greece France Colombia Belgium South Africa Netherlands,North Korea China,"Ceasefire North Korean invasion of South Korea repelled. UN invasion of North Korea repelled. Chinese invasion of South Korea repelled. Korean Demilitarized Zone established, little territorial change at the 38th parallel border, essentially uti possidetis."
Colombian Conflict (1964-2019),Colombia,FARC  ELN  EPL IRAFP,Ongoing
Operation Traíra(1991),Brazil Colombia,FARC,Victory Successful operation against FARC.
Mexican Drug War(2006-2019),Mexico Colombia United States,Mexican Drug Cartels,Ongoing Training of Mexican policemen as well as soldiers and court officers Intelligence Assist Mexican authorities in tracking and capturing Joaquín Guzmán
Operation Atalanta(2015),European Union Colombia,Pirates,End of tour Prevent acts of piracy off the coast of Somalia Instruct allied nations on naval and structural operations
Operation Ocean Shield(2015),NATO Colombia Japan,Pirates,End of tour Prevent acts of Piracy off the coast of Somalia Escort ships from the United Nations World Food Programme
 
