Conflict,Combatant 1,Combatant 2,Result,Reichskanzler,German losses
Franco-German War(1870-1871),Germany,France,Victory Treaty of Frankfurt,Otto von Bismarck,"28,208 dead[1]"
First Samoan Civil War(1886-1894),Supporters of Laupepa Germany,Supporters of Mata'afa,Compromise Malietoa Laupepa restored to power,Otto von Bismarck,16 dead[2]
Abushiri Revolt(1888-1889),Germany United Kingdom,Rebels led by al-Harthi,Victory Rebellion put down,Otto von Bismarck,?
Hehe Rebellion(1891-1898),Germany,Hehe,Victory Rebellion put down,Leo von Caprivi,?
Bafut Wars(1891-1907),Germany,Fondom of Bafut,Victory Exile of the Fon of Bafut,Leo von Caprivi,?
Second Samoan Civil War(1898-1899),Supporters of Mata'afa Germany,Supporters of Tanumafili I United States United Kingdom,Compromise Tripartite Convention,Chlodwig zu Hohenlohe-Schillingfürst,?
Boxer Rebellion(1899-1901),Russia Japan United Kingdom France United States Germany Austria-Hungary Italy,Yihetuan Movement China,Victory Signing of the Boxer Protocol Provisions for foreign troops to be stationed in Beijing,Chlodwig zu Hohenlohe-Schillingfürst,?
Adamawa Campaign(1902),Germany,Fulani,Victory German rule in Kamerun solidified,Bernhard von Bülow,?
Venezuelan Crisis(1902-1903),United Kingdom Germany Italy,Venezuela,Compromise Venezuelan debt dispute resolved,Bernhard von Bülow,?
Herero Wars(1904-1908),Germany,HereroNamaqua,Victory Herero and Namaqua genocide,Bernhard von Bülow,"1,541 dead[3]"
Maji Maji Rebellion(1905-1908),Germany,MatumbiNgoni,Victory Rebellion put down,Bernhard von Bülow,397 dead[4]
Sokehs Rebellion(1910-1911),Germany,Sokehs tribe,Victory Rebellion put down,Theobald von Bethmann-Hollweg,5 dead[5]
World War I  (1914-1918),Germany Austria-Hungary Ottoman Empire Bulgaria,France United Kingdom Russia Italy United States Serbia Australia Canada New Zealand South Africa Belgium Greece Romania Portugal Brazil Nepal Japan Siam Hejaz Russian SFSR,"Defeat End of the German, Russian, Ottoman, and Austro-Hungarian empires Formation of new countries in Europe and the Middle East Transfer of German colonies and regions of the former Ottoman Empire to other powers Establishment of the League of Nations",Theobald von Bethmann-Hollweg,"2,198,420 to2,800,720 dead[6]"
German Revolution(1918-1919),Germany,Revolutionaries,Government victory Establishment of the Weimar Republic,Friedrich Ebert,?
Greater Poland Uprising(1918-1919),Germany,POW,Defeat Poland gains Greater Poland,Friedrich Ebert,?
First Silesian Uprising(1919),Germany,POW-GS,Victory German forces crush uprising,Gustav Bauer,?
Ruhr Uprising(1920),Germany,Ruhr Red Army,Government victory Uprising crushed,Gustav Bauer,"1,600+(Both combatants)"
Second Silesian Uprising(1920),Germany,POW-GS,League of Nations ceasefire Order restored by allied intervention,Constantin Fehrenbach,?
Third Silesian Uprising(1921),Germany,POW-GS,League of Nations ceasefire Parts of Upper Silesia ceded to Poland,Joseph Wirth,?
Spanish Civil War(1936-1939),Spanish Nationalists Italy Nazi Germany Portugal,Spanish Republicans International Brigades,Victory End of the Second Spanish Republic,Adolf Hitler,~300 killed[7]
Sudeten German Uprising(1938),Nazi Germany Freikorps Sudetenland,Czechoslovakia,Victory Munich Agreement,Adolf Hitler,?
World War II(1939-1945),Nazi Germany  Japan Italy Romania Hungary Bulgaria Slovakia Croatia Finland Thailand Iraq,Soviet Union United States United Kingdom China France Poland Yugoslavia Greece Australia Canada New Zealand South Africa Denmark Norway Netherlands Belgium Luxembourg Czechoslovakia  Ethiopia Brazil Mexico Colombia Cuba Nepal Philippines Mongolia,Defeat Collapse of Nazi Germany Creation of the United Nations Emergence of the United States and the Soviet Union as superpowers Beginning of the Cold War,Adolf Hitler,"6,900,000 to7,400,000 dead[8]"
Bosnian War(1995),NATO  Belgium  Canada  Denmark  France  Germany  Italy  Luxembourg  Netherlands  Norway  Portugal  Spain  Turkey  United Kingdom  United States,Republika Srpska,Victory Dayton Accords,Helmut Kohl,None
Kosovo War(1999),NATO  Belgium  Canada  Denmark  France  Germany  Italy  Luxembourg  Netherlands  Norway  Portugal  Spain  Turkey  United Kingdom  United States  UÇK,FR Yugoslavia,Victory Kumanovo Treaty Yugoslav security forces pull out of Kosovo United Nations Resolution 1244,Gerhard Schröder,None
War in Afghanistan(2001-2019),Afghanistan ISAF  United States  United Kingdom  Australia  Canada  Germany  France  Italy  Czech Republic  Netherlands  Turkey  Romania  Georgia  South Korea  Poland  Denmark  Sweden  Norway Others,Taliban al-Qaeda,Ongoing Fall of the Islamic Emirate of Afghanistan Establishment of new Afghan government War in North-West Pakistan,Gerhard Schröder,57 dead[9]
War on ISIL(2015-2019),Iraq Iraqi Kurdistan Northern Syria CJTF-OIR  United States  Canada  United Kingdom  France  Germany  Turkey  Saudi Arabia  Qatar  Jordan  Bahrain  UAE  Morocco  Australia  Netherlands  Belgium  Denmark  Norway,ISIL al-Qaeda,Ongoing Airstrikes on ISIL and al-Qaeda affiliates positions in Iraq and Syria Wave of Terror in Europe,Angela Merkel,See below[10]
Mali War(2017-2019),Mali MINUSMA  France  ECOWAS  Chad  Germany  Netherlands  Sweden,al-Qaeda,Ongoing German deployment to defend peacekeepers,Angela Merkel,2 dead[11]
