Conflict,Combatant 1,Combatant 2,Results
British Expedition to Abyssinia(1867-1868),Ethiopia,United Kingdom,Defeat Tewodros II committed suicide.
Ethiopian-Egyptian War(1874-1876),Ethiopia,Egypt,Victory Egyptian invasion repelled.
Mahdist War(1885-1889),United Kingdom India Egypt Ethiopia,Mahdist Sudan,Victory Sudanese invasion of Ethiopia repelled.
Battle of Dogali(1887),Ethiopia,Italy,Victory Italian garrison in Dogali destroyed.
First Italo-Ethiopian War(1895-1896),Ethiopia,Italy,Victory Italian invasion repelled.
Somaliland Campaign(1900-1920),United Kingdom Italy Ethiopia,Dervish State,Victory Collapse of the Dervish State.
Gugsa Wale's Rebellion(1930),Pro-King Tafari Makonnen faction,Pro-Empress Zewditu faction,Victory Gugsa Wale defeated and King Tafari Makonnen proclaimed as Emperor Haile Selassie I.
Second Italo-Ethiopian War(1935-1936),Ethiopia,Italy,Defeat Occupation of Ethiopia by Italy.
East African Campaign(1940-1943),United Kingdom Ethiopia South Africa Belgium Free France,Italy,"Victory Fall of Italian East Africa, Ethiopia regained its independence."
Korean War  (1950-1953),South Korea  UN Command  United States  United Kingdom  Canada  Turkey  Australia  Ethiopia  Philippines  New Zealand  Thailand  Greece  France Colombia  Belgium  South Africa  Netherlands  Luxembourg,North Korea China,Stalemate The Korean Armistice Agreement
Congo Crisis (1960-1964),Congo-Léopoldville  ONUC  Ireland  Sweden  Norway  India  Nigeria  Ethiopia,Katanga  South Kasai,Victory Debellation of Congolese separatist states.
Bale Revolt(1963-1970),Ethiopia,Oromo and Somali rebels,"Victory  Revolt crushed, peace agreement"
1964 Ethiopian-Somali War(1964)[1],Ethiopia,Somalia,Victory  Somali troops successfully overwhelmed.
Ogaden War(1977-1978),Derg Cuba South Yemen Soviet Union,Somalia  WSLF,Victory Somali retreat from Ogaden with assistance by cuban personnel.
1982 Ethiopian-Somali Border War(1982),Derg SSDF,Somalia,"Victory Ethiopian-SSDF withdrawal from Somalia, after USA military intervention."
Eritrean War of Independence (1961-1991),Derg   PDRE Cuba Soviet Union South Yemen,EPLF ELF,Defeat Independence of Eritrea from Ethiopia. Ethiopia became a landlocked country.
Ethiopian Civil War(1974-1991),Derg   PDRE Cuba,EPRP TPLF MEISON ANDM EDUP OLF ONLF WSLF ALF,"Regime change Fall of the Communist Mengistu government, installation of TPLF-led transitional government, to become EPRDF government."
