Conflict,Combatant 1,Combatant 2,Results
French conquest of Senegal(1659-1895) Location: Senegal,France,Waalo KingdomKingdom of CayorJolof EmpireBaolKingdom of SineSaloum,French victory France conquers territory of present-day Senegal
Siamese revolution of 1688(1688) Location: Siam,Prasat Thong dynasty France  French East India Company,Phetracha and various Siamese lordsSupported by:   Dutch East India Company,French defeat Establishment of Ban Phlu Luang dynasty Expulsion of French troops in Bangkok
"King William's War(1688-1697) Location: North America  Acadia and New England Theatre Raid on Dover Siege of Pemaquid (1689) Raid on Salmon Falls Battle of Port Royal Battle of Fort Loyal Battle of Chedabucto Raid on York Raid on Wells Raid on Oyster River Battle of Fundy Bay Siege of Pemaquid (1696) Raid on Chignecto Siege of Fort Nashwaak Quebec, New York, and Newfoundland Theatre Lachine massacre Schenectady massacre Battle of Quebec Battle of La Prairie Mohawk Valley Raid Avalon Peninsula Campaign Siege of Ferryland Raid on Cape Broyle Raid on Bay Bulls Raid on Petty Harbour Siege of St. John's Raid on Conception Bay Battle of Carbonear Hudson Bay Theatre Hudson Bay Expedition Battle of Fort Albany Battle of Fort Albany Capture of York Factory Battle of Hudson's Bay",France New France Wabanaki Confederacy,England Massachusetts Bay Colony English America Haudenosaunee,Status quo ante bellum Treaty of Ryswick
French and Iroquois Wars(1700) Location: Great Lakes region,"Huron, Erie, Neutral, Odawa, Ojibwe, Mississaugas, Potawatomi, Algonquin, Shawnee, Wenro, Mahican, Innu, Abenaki, Miami, Illinois Confederation, other nations allied with FranceSupported by: France",HaudenosauneeSupported by: England Dutch Republic,Military stalemate Great Peace of Montreal Growth of French token influence in the Great Lakes region Huron-Wendat Confederacy destroyed or assimilated Military refugee migration results in expansion of Iroquois hunting grounds down to Mississippi River Further Iroquois territorial expansion halted in military campaigns by the Council of Three Fires
Queen Anne's War(1702-1713) Location: North America,France  New France  Spain   New Spain Wabanaki ConfederacyCaughnawaga MohawkChoctawTimucuaApalacheeNatchez,England (before 1707)  English America  Great Britain (after 1707)   British America Muscogee (Creek)ChickasawYamasee,French defeat Treaty of Utrecht Treaty of Portsmouth
Chickasaw Wars(1721-1763) Location: Mississippi River,FranceChoctawIllini,Great BritainChickasaw,Chickasaw victory Treaty of Paris
"Carnatic Wars(1744-1763) Location: Carnatic region, South India  Third Carnatic War Battle of Chandannagar Battle of Plassey Battle of Cuddalore Battle of Negapatam Battle of Condore Battle of Pondicherry Siege of Masulipatam Siege of Madras Battle of Wandiwash Siege of Pondicherry (1760)",Kingdom of France  French East India Company,Kingdom of Great Britain  British East India Company,French defeat
King George's War(1744-1748) Location: North America  Raid on Canso Siege of Annapolis Royal (1744) Siege of Annapolis Royal (1745) Siege of Port Toulouse Siege of Louisbourg (1745) Action of 15 June 1745 Battle at Port-la-Joye Northeast Coast Campaign (1745) Raid on Saratoga Duc d'Anville Expedition Siege of Fort Massachusetts Battle of Grand Pré Siege of Fort at Number 4,France  New France Wabanaki Confederacy,Great Britain  British America  Iroquois Confederacy,Status quo ante bellum Treaty of Aix-la-Chapelle
Father Le Loutre's War(1749-1755) Location: Acadia and Nova Scotia,France  New France Wabanaki Confederacy  Mi'kmaq militia Maliseet militia,Great Britain  British America,French defeat
"French and Indian War(1754-1763) Location: North America  St. Lawrence and Mohawk theater Battle of Lake George Battle of Fort Bull Battle of Fort Oswego (1756) Battle on Snowshoes (1757) Battle of Sabbath Day Point Siege of Fort William Henry Attack on German Flatts (1757) Battle on Snowshoes Battle of Carillon Battle of Fort Frontenac Battle of La Belle-Famille Battle of Fort Niagara Battle of Ticonderoga Battle of Beauport Battle of the Plains of Abraham St. Francis Raid Battle of Sainte-Foy Battle of the Thousand Islands Ohio Valley Theater Battle of Jumonville Glen Battle of the Great Meadows Braddock Expedition Battle of the Monongahela Forbes Expedition Battle of Fort Duquesne Battle of Fort Ligonier Atlantic theater Action of 8 June 1755 Battle of Fort Beauséjour Bay of Fundy Campaign (1755) Battle of Petitcodiac Raid on Lunenburg, Nova Scotia (1756) Louisbourg Expedition (1757) Battle of Bloody Creek (1757) Siege of Louisbourg (1758) Petitcodiac River Campaign Ile Saint-Jean Campaign Gulf of St. Lawrence Campaign (1758) St. John River Campaign Battle of Restigouche Battle of Signal Hill",France  New France Wabanaki Confederacy  Abenaki Mi'kmaq militia AlgonquinLenapeOjibwaOttawaShawneeWyandot,Great Britain  British America Iroquois Confederacy CatawbaCherokee (before 1758),French defeat Treaty of Paris
