Conflict,Combatant 1,Combatant 2,Results
Haitian Revolution(1791-1804),Haiti Great Britain[1] Spain (1793-1795)[1] French Royalists[2],France,Victory Expulsion of the French colonial government Independence of the First Empire of Haiti
British Occupation of Saint-Domingue(1797-1798),Haiti,Great Britain,Victory Louverture's army conquers most of British-occupied Saint-Domingue in the West Rigaud's army conquers the British at Jérémie
War of Knives(1799-1800),Louverture's forces,Rigaud's forces,Victory to Louverture[3] Riguad exiled to France
Saint-Domingue expedition(1801-1803),Haiti United Kingdom,France  Polish Legions  Spain,Victory French defeat Massacre of white French Creoles
Siege of Santo Domingo(1805),Haiti[4],France,Defeat Haitian withdrawal from Santo Domingo
1811 German Coast Uprising(1811),Rebel slaves Supported by:  Haiti,United States,Defeat (limited involvement) Suppression and later trials
Action of 3 February 1812(1812),Haiti,United Kingdom,Defeat British victory
Venezuelan War of Independence(1816-1823),Venezuela Gran Colombia Haiti[5],Spain,Victory (clandestine involvement) Independence of Gran Colombia
Greek Revolution(1821-1832),Greece Russian Empire United Kingdom Kingdom of France Haiti[6][7],Ottoman Empire,Victory Independence of Greece
Dominican War of Independence(1844-1856),Haiti[8] Second Empire of Haiti,Dominican Republic,Defeat Independence of the Dominican Republic
First Caco War(1915),United States Haiti[9],Cacos,Victory Haitian rebels defeated by US forces
Second Caco War(1918-1920),United States Haiti[10],Cacos,Victory Ended with the death of Benoit Batraville
World War I(1914-1918),France United Kingdom Russia United States China Italy Japan Canada Australia New Zealand India South Africa Serbia Montenegro Romania Belgium Greece Portugal Brazil Haiti[11][12],Germany Austria-Hungary Ottoman Empire Bulgaria,"Victory End of the German, Russian, Ottoman, and Austro-Hungarian empires Formation of new countries in Europe and the Middle East Transfer of German colonies and regions of the former Ottoman Empire to other powers Establishment of the League of Nations"
World War II(1941-1945),Soviet Union United States United Kingdom China France Poland Canada Australia New Zealand India South Africa Yugoslavia Greece Denmark Norway Netherlands Belgium Luxembourg Czechoslovakia Brazil Mexico Ethiopia Dominican Republic Haiti[13][14],Germany Japan Italy Hungary Romania Bulgaria Finland Thailand Manchukuo Croatia Slovakia,Victory Collapse of the Third Reich Fall of Japanese and Italian empires Creation of the United Nations Emergence of the United States and the Soviet Union as superpowers Beginning of the Cold War
Operation Uphold Democracy(1994-1995),Haiti,United States Poland Argentina,Defeat Reinstatement of Jean-Bertrand Aristide as president of Haiti.
FLRN Rebellion(2004),Haiti[15],FLRN,Regime change Aristide ousted.[16] 
