Conflict,Combatant 1,Combatant 2,Result
Majapahit Empire(1293-1527),Majapahit Empire(1293-1527),Majapahit Empire(1293-1527),Majapahit Empire(1293-1527)
Mongol invasion of Java(1292-1293),Majapahit EmpireSinghasari KingdomKediri Kingdom,Yuan Dynasty,Victory
Majapahit invasion of Bali(1343),Majapahit Empire,Bali Kingdom,Victory
Majapahit-Pasai War(1350),Majapahit Empire,Samudera Pasai Sultanate,Victory
Majapahit invasion of Temasek(1350),Majapahit Empire,Singapura Kingdom,Defeat
Majapahit-Ayutthaya War(1357),Majapahit Empire,Ayutthaya Kingdom,Victory
Battle of Bubat(1357),Majapahit Empire,Sunda Kingdom,Victory
Battle of Manila(1365),Majapahit Empire,Tondo Kingdom,Defeat
Battle of Poni(1369),Majapahit Empire,Sulu Sultanate,Victory
Palembang rebellion(1377),Majapahit Empire Chinese pirates,Palembang rebels,Victory
Majapahit invasion of Temasek(1398),Majapahit Empire,Singapura Kingdom,Victory
Paregreg war(1404-1406),Western court,Eastern court,Victory
Sudarma Wisuta war(1478),Majapahit Empire,Demak Sultanate,Defeat
Dutch East India Company(1602-1799),Dutch East India Company(1602-1799),Dutch East India Company(1602-1799),Dutch East India Company(1602-1799)
Malayan-Portuguese war(1511-1641),Malacca Sultanate  Johor Sultanate Ming Dynasty Dutch East India Company,Portuguese Empire,Victory
Sinhalese-Portuguese war(1527-1658),Kingdom of Sitawaka Kingdom of Kandy  Dutch East India Company,Portuguese Empire Kingdom of Kotte,Victory
Dutch-Portuguese War(1601-1663),Dutch Republic,Portuguese Empire,Stalemate
Sino-Dutch conflicts(1620s-1670s),Dutch East India Company Chinese pirates,Ming Dynasty Ming loyalists,Defeat
Dutch conquest of the Banda Islands (1621),Dutch East India Company,Bandanese fighters,Victory
Siege of Batavia (1628-1629),Dutch East India Company,Mataram Sultanate,Victory
Dutch pacification campaign on Formosa (1635-1636),Dutch East India Company,Mattau nativesBakloan nativesSoulang nativesTaccariang nativesTevorang natives,Victory
Lamey Island Massacre (1636),Dutch East India Company,Liuqiu natives,Victory
Cambodian-Dutch War(1643-1644),Dutch East India Company,Cambodia,Defeat
Guo Huaiyi rebellion (1652),Dutch East India CompanyTaiwanese peoples,Guo Huaiyi's army,Victory
First Tondano War(1661-1664),Dutch East India Company,Minahasan peoples,Victory
Third Anglo-Dutch War(1672-1674),Dutch Republic,Kingdom of England Kingdom of France Bishopric of Münster Electoral Cologne,Victory
Trunajaya rebellion(1674-1680),Mataram Sultanate  Dutch East India Company Dutch East India Company allies,Rebel forcesMakassarese fightersRival claimants,Victory
Nine Years' War(1688-1697),Dutch Republic Kingdom of England Kingdom of Scotland Holy Roman Empire Spanish Empire Duchy of Savoy Kingdom of Portugal Swedish Empire,Kingdom of France Jacobitism,Defeat
First Javanese War of Succession (1704-1708),Dutch East India CompanyKartasura Sultanate,Mataram Sultanate,Victory
Second Javanese War of Succession (1719-1723),Mataram Sultanate Dutch East India Company,Rival claimantsRebel Princes,Victory
Java War (1741-1743),Dutch East India Company,Chinese armyJavanese army,Victory
Travancore-Dutch War(1741-1757),Dutch East India Company,Travancore Kingdom,Military StalemateDutch commercial victory
Third Javanese War of Succession (1749-1757),Mataram Sultanate Dutch East India CompanyYogyakarta Sultanate Surakarta Sunanate Mangkunegaran Sultanate,Anti-Dutch rebels,Victory
Battle of Penfui(1749),Dutch East India CompanyTimorese allies,TopassesTimorese allies,Victory
Fourth Anglo-Dutch War(1780-1784),Dutch Republic Kingdom of France,Kingdom of Great Britain,Defeat
French Occupation(1806-1811),French Occupation(1806-1811),French Occupation(1806-1811),French Occupation(1806-1811)
Napoleonic War(1803-1815),First French Empire Napoleonic Italy Duchy of Warsaw Polish Legions Kingdom of Holland Kingdom of Etruria Principality of Lucca and Piombino Kingdom of Naples Switzerland ConfederationConfederation of the Rhine Bonapartist Spain,United Kingdom Austrian Empire Russian Empire Kingdom of Prussia Enlightenment Spain Portuguese Empire Sweden French Royalists Papal States Ottoman Empire Qajar Dynasty Kingdom of Sicily Kingdom of Hungary Electorate of Hanover Kingdom of Bavaria Kingdom of Württemberg Kingdom of Saxony Kingdom of Sardinia United Kingdom of the Netherlands Duchy of Brunswick Grand Duchy of Tuscany Duchy of Nassau Prince-Bishopric of Montenegro,Defeat
Dutch East Indies(1816-1945),Dutch East Indies(1816-1945),Dutch East Indies(1816-1945),Dutch East Indies(1816-1945)
