Conflict,Combatant 1,Combatant 2,Results
First Sino-Japanese War(1894-1895),Japan,China,Victory
Japanese invasion of Taiwan(1895),Japan,Formosa,Victory Annexation of Formosa
Boxer Rebellion(1899-1901),,,
Russo-Japanese War(1904-1905),,,
Truku War(1914),Japan,Truku Tribe,Victory
World War I(1914-1918),,,
Siberian Intervention(1918-1922),,,
Japanese invasion of Manchuria(1931-1932),Japan,China,Victory Tanggu Truce Establishment of the Japanese puppet state Manchukuo
Second Sino-Japanese War(1937-1945),,,
Invasion of French Indochina(1940),Japan,France  French Indochina,Victory Japanese occupation of Northern French Indochina
World War II(1941-1945),,,
Operation Masterdom(1945-1946),,,
Battle of Amami-Ōshima(2001),,,
Operation Ocean Shield(2009-2016),,,
