Conflict,Combatant 1,Combatant 2,Results
Kazakh Khanate (1456-1822),Kazakh Khanate (1456-1822),Kazakh Khanate (1456-1822),Kazakh Khanate (1456-1822)
Battle of Turkistan(1470),Kazakh Khanate,Shaybanids,Victory
1st Kazakh-Uzbek War(1507),Kazakh Khanate,Shaybanid Bukhara,Victory
2nd Kazakh-Uzbek War(1509),Kazakh Khanate,Shaybanid Bukhara,Victory
Chagatai-Kazakh War(1522),Kazakh Khanate,Chagatai under Mansur Khan[1],Victory
Battle of the Emba(1568),Kazakh Khanate,Nogai Horde Russian Empire,Victory Kazakhs expand to Astrakhan.[2][3][4]
3rd Kazakh-Uzbek War(1598),,,
Karakalpak Revolt(1598-1602),Kazakh Khanate,Karakalpaks,Victory
4th Kazakh-Uzbek War(1607-1627),Kazakh Khanate,Khanate of Bukhara,Victory Uzbeks take control of Tashkent. Kazakhs retake Tashkent in 1627.
Zunghar-Kazakh Wars(1652-1718),,,
Kazakh-Russian conflicts(1717-1847),,,
Invasion of Northern Kyrgyzstan(1847),Kazakh Khanate,Kyrgyz tribe of Ormon KhanSupported by: Russian Empire,Defeat Death of Kenesary Khan.
Alash Autonomy (1917-1920),Alash Autonomy,Alash Autonomy (1917-1920),Alash Autonomy (1917-1920)
Kazakhstan Campaign(1917-1920),Alash Autonomy,Soviet Russia,Defeat Kazakhstan becomes part of the Soviet Union.
Kazakh SSR (1920-1991),Kazakh SSR,Kazakh SSR (1920-1991),Kazakh SSR (1920-1991)
Basmachi Revolt(1916-1934),Soviet Russia  Turkestan ASSR  Kirghiz ASSR,Basmachi,Victory
Republic of Kazakhstan (1991-2019),Republic of Kazakhstan (1991-present),Republic of Kazakhstan (1991-present),Republic of Kazakhstan (1991-present)
Tajikistani Civil War(1992-1997),,,
Iraq War(2003-2011),,,
