Conflict,Ceylon and allies,Opponents,Results,Governor(s),Ceylonese losses,Ceylonese losses
Matale Rebellion(1848),British Ceylon,Kandyan Opposition,Victory,The Viscount Torrington,?,?
Second Boer War(1899-1902),British Ceylon British Empire  United Kingdom  British Cape Colony  Natal Colony  Rhodesia  India  AustraliaBefore federation  Canada  New Zealand,Orange Free State  South African Republic Foreign volunteers from:    Netherlands  German Empire  Belgium  France  United States  Italy  Russian Empire  Russian Poland  Sweden  Denmark,"Victory Treaty of Vereeniging: All Boers to surrender arms and swear allegiance to the Crown Dutch language permitted in education Promise to grant Boer republics self-government £3,000,000 compensation ""reconstruction aid"" to Afrikaners",West Ridgeway,?,?
World War I(1914-1918),The Allies  British Ceylon  India  Dominion of Canada  Australia  New Zealand  South Africa  Newfoundland  Belgium  France  Greece  Portugal  Romania  Russia  Italy  Japan  United States  Serbia  Montenegro,Central Powers and Allies  Austria-Hungary  Germany  German Empire  Ottoman Empire  Bulgaria,Victory Treaty of Versailles: German demobilization Treaties of Saint-Germain-en-Laye and Trianon:  Demise of Austria-Hungary Russia pulls out in 1917  Russian Civil War Creation of the Soviet Union Joseph Stalin Rises to power Creation of League of Nations:  Mesopotamia ceded from the Ottoman Empire Palestine and Jordan ceded from the Ottoman Empire Tanganyika ceded from Germany Part of Kamerun ceded from Germany Part of Togoland ceded from Germany German New Guinea ceded to Australia German Samoa ceded to New Zealand German South-West Africa ceded to South Africa,Robert ChalmersReginald Edward StubbsJohn AndersonReginald Edward StubbsWilliam Manning,?,?
World War II(1931-1945),The Allies  British Ceylon  France  Poland  Belgium  Netherlands  Luxembourg  Czechoslovakia  Norway  Greece  Yugoslavia  Soviet Union  United States  Canada  Australia  New Zealand  India    Nepal  South Africa  Brazil  China,Axis Powers  Germany  Italy  Hungary  Japan  Bulgaria  Croatia  Romania  Manchukuo  Mengjiang  Finland  Thailand  Vichy France,"Victory End of the German, Russian, Ottoman, and Austro-Hungarian empires Formation of new countries in Europe and the Middle East Transfer of German colonies and regions of the former Ottoman Empire to other powers Establishment of the League of Nations.",Graeme ThomsonFrancis Graeme TyrrellReginald Edward StubbsMaxwell MacLagan WedderburnAndrew CaldecottHenry Monck-Mason Moore,?,?
JVP Insurrection(1971),Sri Lanka,Janatha Vimukthi Peramuna,Victory Rebel forces surrender Ceylonese government reestablishes control over entire island,Sirimavo Bandaranaike,Sirimavo Bandaranaike,53,"1,200"
JVP Insurrection(1987-1989),Sri Lanka,Janatha Vimukthi Peramuna,Victory,J. R. Jayewardene,J. R. Jayewardene,?,?
Sri Lankan Civil War(1983-2009),Sri Lanka IndiaSupported by: China Pakistan United States[1],Liberation Tigers of Tamil Eelam,Victory Sri Lankan government decisive victory Rebel Liberation Tigers of Tamil Eelam organisation is wiped out Sri Lankan government reestablishes control over entire island Tamil National Alliance drops the demand for a separate state,J. R. JayewardeneRanasinghe Premadasa †Dingiri Banda WijetungaChandrika KumaratungaMahinda Rajapaksa,Ranasinghe PremadasaRanjan WijeratneDingiri Banda WijetungaTilak MarapanaMahinda Rajapaksa,"23,327","60,000-100,000"
United Nations Interim Force in Lebanon(1978-2019),Sri Lanka,Lebanon,Ongoing,J. R. Jayewardene,,0
United Nations Stabilisation Mission in Haiti(2004-2019),Sri Lanka,Haiti,Ongoing,Chandrika Kumaratunga,,?
United Nations Mission in the Central African Republic and Chad(2007-2010),Sri Lanka,Central African Republic Chad,Ended,Mahinda Rajapaksa,Mahinda Rajapaksa,?
