Conflict,New Zealand,Opposing Combatant,Result
Second Boer War(1899-1902),British Empire  Cape Colony  Natal Colony  Rhodesia  British India  Australia  Canada  New Zealand  British Ceylon,Orange Free State  South African Republic,British victory British sovereignty over the Orange Free State and the Transvaal in accordance with the Treaty of Vereeniging
Boxer Rebellion(1900-1901),United Kingdom  Australia  Canada  New Zealand  India  Japan  Russia  France  United States  Germany  Austria-Hungary  Italy,Righteous Harmony Society  Qing Empire,Allied victory Boxer Protocol:  Anti-foreign societies banned in China
World War I  (1914-1918),France United Kingdom  India  Canada  Australia  New Zealand  South Africa  Newfoundland  Russia Italy United States Serbia Montenegro Belgium Japan Romania Portugal Hejaz Greece Armenia Nejd and Hasa Siam,Germany Austria-Hungary Ottoman Empire Bulgaria,"Allied victory End of the German, Russian, Ottoman, and Austro-Hungarian empires Formation of new countries in Europe and the Middle East Transfer of German colonies and regions of the former Ottoman Empire to other powers Establishment of the League of Nations. (more...)"
Armenian-Azerbaijani War(1918-1920),FR Armenia RM Armenia  British Empire  Australia  Canada  New Zealand  Centrocaspian Dictatorship,Azerbaijan Ottoman Empire Russian SFSR Turkish Revolutionaries  Azerbaijan SSR,Soviet victory Sovietization of Armenia and Azerbaijan Disputes over Karabakh and Nakhichevan settled in favor of Soviet Azerbaijan Zangezur gained by Soviet Armenia
World War II(1939-1945),Soviet Union United States United Kingdom China France Poland Yugoslavia Greece Netherlands Belgium Luxembourg Norway Czechoslovakia India Canada Australia New Zealand South Africa Philippines Ethiopia Brazil Mongolia Mexico,Germany Japan Italy Romania Hungary Bulgaria Slovakia Croatia Finland Thailand Iraq,Allied victory Collapse of the Third Reich Fall of Japanese and Italian Empires Creation of the United Nations Emergence of the United States and the Soviet Union as superpowers Beginning of the Cold War (more...)
Malayan Emergency(1948-1960),United Kingdom  Federation of Malaya  Southern Rhodesia  Rhodesia and Nyasaland  Colony of Fiji  Australia New Zealand,MCP  MRLA,British Commonwealth victory Chin Peng exiled from Malaya
Korean War  (1950-1953),South Korea United States United Kingdom Canada Turkey Australia Ethiopia Philippines New Zealand Thailand Greece France Colombia Belgium South Africa Netherlands Luxembourg,North Korea China Soviet Union,Ceasefire North Korean invasions of South Korea repelled United Nations invasion of North Korea repelled Chinese-North Korean-Soviet invasion of South Korea repelled Korean Armistice Agreement signed Korean Demilitarized Zone established uti possidetis
Vietnam War (1964-1973),South Vietnam United States South Korea  Thailand Australia New Zealand Kingdom of Laos Khmer Republic,North Vietnam Viet Cong Khmer Rouge Khmer Issarak Pathet Lao North Korea China,"North Vietnamese victory Withdrawal of American forces from Indochina Dissolution of the Republic of Vietnam Communist governments take power in South Vietnam, Laos and Cambodia South Vietnam is annexed by North Vietnam"
Indonesia-Malaysia confrontation(1962-1966),Malaysia  Malaya  North Borneo  Sarawak  Singapore  United Kingdom  Australia  New Zealand,Indonesia,Commonwealth victory Suharto replaced Sukarno as the Supreme Commander of the Indonesian Armed Forces Normalisation of diplomatic relationship Indonesia accepts the formation of Malaysia Peace treaty
Gulf War  (1990-1991),Kuwait United States United Kingdom Saudi Arabia France Canada Egypt Syria Qatar New Zealand,Iraq,Coalition victory Iraqi withdrawal from Kuwait; Emir Jaber III restored Sanctions against Iraq Heavy casualties and destruction of Iraqi and Kuwaiti infrastructure Establishment of Iraqi no-fly zones
2006 East Timorese crisis(2006),Australia New Zealand Malaysia Portugal East Timor,FTDL elements,Indecisive Violence ends
War in Afghanistan(2001-2019),ISAF  United States  United Kingdom  Canada  Germany  Italy  Georgia  Poland  Romania  Turkey  Australia  New Zealand  Afghanistan,Taliban Al-Qaeda  IMU  HI-Gulbuddin  HI-Khalis  Haqqani network  Lashkar-e-Taiba  JeM[1]  ETIM  TTP  IEW  TNSM  IJU[2],Ongoing Defeat of the Taliban government in Afghanistan Fall of the Islamic Emirate of Afghanistan Destruction of al-Qaeda camps Killing of Osama bin Laden Establishment of new Afghan government Creation of new Afghan National Army Taliban insurgency Return of more than 5.7 million Afghan refugees from Pakistan and Iran War in North-West Pakistan
War on ISIL(2014-2019),United States Iraq United Kingdom Canada Jordan Morocco Australia Belgium Denmark France Germany Italy Netherlands New Zealand Norway Portugal Spain Bahrain Saudi Arabia United Arab Emirates EgyptSyrian OppositionRussiaSyria,Islamic State of Iraq and the Levant Boko Haram   al-Nusra Front  Khorasan    Ahrar ash-Sham,"Ongoing Coalition airstrikes on ISIL and al-Qaeda affiliates positions in Iraq, Syria, Libya, and Nigeria Multinational humanitarian effort conducted by various nations. ISIL loses 30% of its territory in Iraq Over 350 Christians are in ISIL captivity. Hundreds of thousands of civilians in Iraq and Syria flee from their homes to escape advancing ISIL forces. Thousands of Syrian and Iraqi civilians killed by ISIL forces. Boko Haram joins ISIL, establishing a presence in Nigeria and surrounding African countries. Arming and support for Iraq and the Syrian Opposition along with various militias opposed to ISIL. ISIL controls over 50% of Syria by May 2015. ISIL presence in Afghanistan, Pakistan, Yemen and the Philippines."
