Conflict,Russia (and its allies),Opponent(s),Result
Boxer Rebellion (1899-1901)  Location: China    Russian officers in Manchuria during the rebellion,Eight-Nation Alliance:  Japan  United Kingdom Russia France  United States  Germany  Austria-Hungary  Italy,Yìhéquán  China,Victory
"Russo-Japanese War (1904-1905)  Location: Manchuria, Korean Peninsula and Yellow Sea    Russian cavalry in a reconnaissance mission during the Battle of Mukden",Russia,Japan,Defeat Treaty of Portsmouth
Russian Revolution of 1905 (1905-1907)  Location: Russia    A barricade erected by revolutionaries in Moscow,Russia,Revolutionaries Peasants Industrial workers Separatists Saint Petersburg Soviet Moscow City Duma Chita Republic SR RSDLP,Victory Crushing of the revolution
Persian Constitutional Revolution (1905-1911)  Location: Iran    Russian flag over Arg of Tabriz,Persia   Russia (from 1906),Iranian constitutionalists,Victory Russian occupation of Northern Iran until Russian Revolution
World War I (1914-1918)  Location: Europe and Asia    Russian troops going to the front     Attack of Russian cavalry     Russian trenches in the forests of Sarikamish,Allies:  France British Empire Russia Italy United States Serbia Montenegro Belgium Japan Romania Portugal Hejaz Greece Armenia Nejd and Hasa Siam,Central Powers:  Germany  Austria-Hungary  Turkey  Bulgaria,Victory  Treaty of Brest-Litovsk (terminated after eventual Allied victory)
Central Asian Revolt (1916-1934)  Location: Central Asia    Soviet troops on Turkestan front in 1922,Russian Empire (until 1917)   Russian SFSR  Turkestan ASSR  Kirghiz ASSR  Soviet Union (from 1922),Basmachi  Khiva  Bukhara  Afghanistan,Victory Crushing of the revolt
Russian Civil War(1917-1922),Russian SFSR Far Eastern Republic Mongolian Communists   Makhnovshchina  Left SR  Green armies,White Movement Mountain Republic Makhnovshchina Left SR Green armies   British Empire  Empire of Japan  Czechoslovakia  Greece  United States  France  Serbia  Romania  Italy  China    Mongolia,"Victory Victory for the Red Army in Russia, Ukraine, Belarus, South Caucasus, Central Asia, Tuva, and Mongolia Victory for pro-independence movements in Finland, Estonia, Latvia, Lithuania, and Poland"
Ukrainian War of Independence(1917-1921),Russian SFSR Ukrainian SSR Makhnovshchina,Ukrainian People's Republic  West Ukrainian People's Republic  German Empire (1918)  Poland (1920-1921)    Hetmanate of Ukraine   White Movement  German Empire (1917-1918)  Romania (1918)   Poland (1918-1919)  France (1919)  Greece (1919),Victory Formation of the Ukrainian SSR
Kazakhstan Campaign(1917-1920),Russian SFSR,Alash Autonomy White Movement,Victory Incorporation of Kazakhstan into the Soviet Union
Finnish Civil War(1918),Russian SFSR Red Guard,White Guard Germany,Defeat Independence of Finland
